Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
10374IPNLTAG,"NAMETAG,INSTRUMENT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,
BLACK LETTERING,WITH ADHESIVE FOR PERMANENT ATTACHMENT
TEXT PER DWG # 10374IPNLTAG",$0.00 ,,10374IPNLTAG,,,,,,,DIdPKbScMe4YQ89sgeg0n4,"KjdeFPm8Gg4iqhVSQTVnl7 , Ij74EqOiDm4-e7iKWD63v1",MECO 10374IPNLTAG
"MONITOR, CONDUCTIVITY, 100-240VAC/50-60HZ, 24VDC","MONITOR,CONDUCTIVITY,100-240VAC/50-60HZ,24VDC, 2 CHANNELS,1SPST N.O. & 1SPST N.C. ALARM RELAYS,1/4 DIN,ISM METTLER TOLEDO MODEL M300 WATER,30280778 NOTE TO VENDOR: CERTIFICATE OF CALIBRATION IS REQUIRED","$2,308.00 ",,2205408000,,,,,E480774,PICQ7,"77mu_wYVaH4SAk2SeyU9Rf , VZPnVZF4KU4-U3Z0cjB_o5 , 2vXeWv1uzZ4sAItjXOPtS3","vU5hfDzSWB4e6y18iJ0qsc , y8GQ1ig4_l44eB-zGJH3x3 , ZW8IjSxYuj43MZlowMkqtf",MECO 2205408000
,"NAMETAG,01.000"" X 02.500"",2-PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ: MULTI-PARAMETER METER (M800)

SCOT-GRAV OR EQUAL

NO DRAWING REQUIRED",$9.00 ,,3102826001,,,,,,,XnXr3baLtK4lY5wPnHqZj2,"Du0sEPZl-94cyIUWfHQW43 , nX-_mopYK04iqdwe0TDyE9",MECO 3102826001
PL-ES-CN-A10,"LED FLEXIBLE TAPE LIGHT CONNECTOR, 1 METER LENGTH
USED FOR LED FLEXIBLE TAPE LIGHT, 10 METER ROLL
P-TEC #PL-ES-CN-A10",$2.67 ,,2700439000,,,,,,,"pgQFNDQlMb4WydeypyD2E4 , B6uSBtmL_y4cqdGfZcy1-2","UcYkBbNWVB4KaQK6zChck5 , BfXegqN6pR4vuRiJaM1hR7",MECO 2700439000
3102684001,"NAMETAG,01.000"" X 02.500"",2PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ: ""HOUR METER""

SCOT-GRAV OR EQUAL
REF DWG # 3102684001",$9.00 ,,3100527000,,,,,,,"QlWqUdZ_PU4rM4rTc_gWNe , 9w7wsc5JoU4960DkbUPR2b , jpRQlBPu3E40YLwMywa148 , XUID0TgPq14xmJQyRGsz1b","AawZF8aYwg4rmHt8zAbp1e , lygvadSVIj45yYqr39Pn5e , syeBIxhJAp4mQjAirO40me , dAnOrFKV594KIpEg0GIod2 , o83TpgH5py4nuzl-MBQRW8",MECO 3100527000
"NAMETAG,01.000"" X 02.500"",2-PLY,00.062""THK, WHITE WITH BLACK CORE","NAMETAG,01.000"" X 02.500"",2-PLY,00.062""THK, WHITE WITH BLACK CORE,BEVEL EDGE TAG TO READ: MULTI-PARAMETER METER SCOT-GRAV OR EQUAL NO DRAWING REQUIRED",$9.00 ,,3102826000,,,,,,,"9k1mZ3Ysac44UQXF6-DqX5 , mIZPIz9WRt4satBxWVfXu0 , zEKdzMXhdk4f6vS8CAboH8 , L0W8J8g7Y4446fwH-Edpbf","i2VyTreahW4OiKyI-w0ctc , 5LklgzI4w34Ba92vTAFk6d , z3tPYDs8YC4VuYB0gJI1b1 , qAUjs7MO8X40uKDbsbiyYc",MECO 3102826000
"MONITOR,CONDUCTIVITY,100-240VAC/50-60HZ,20-30VDC, 4 CHANNELS","MONITOR,CONDUCTIVITY,100-240VAC/50-60HZ,20-30VDC, 4 CHANNELS,(8) CONFIGURABLE RELAYS & (8) 4-20MA ANALOG OUTPUTS,COLOR TOUCH SCREEN NOTE TO VENDOR: TO PROVIDE CALIBRATION CERTIFICATE METTLER TOLEDO MODEL M800,#58 000 804 NOTE TO MECO:  MUST CALL OUT 2205046001 (PANEL MOUNT) WITH THIS ITEM NOTE TO MECO:  MUST USE ISM PROBE","$5,075.00 ",,2205046000,,,,,E480774,PICQ,"VW2bC8Uw5R4UuKbE8wMq5f , HP_MwQoRy54be8BAS7_DL3","JszSzJ8swC4ryQjLcwrV44 , TECym8a5sn4TIIFq3tpwze , 8SAZ_YxBfn4YM0EHZeqdYe",MECO 2205046000
10376CC,"PANEL,INSTRUMENT,DISTRIBUTION SKID,
REF DWG # 10376CC",$155.00 ,,10376IPNL,,,,,,,X022217NBP4L2V5dKytya4,"-E8i9pwTRz4ZyrkibcJZn7 , 9f52OzdSgi4PmH0JvJ2d38",MECO 10376IPNL
,"NAMETAG,01.000"" X 02.500"",2PLY,00.062""THK,WHITE WITH BLACK CORE,
BEVEL EDGE,TEXT HEIGHT 00.1875""
    
TAG TO READ: ""VFD01""
  
SCOT-GRAV OR EQUAL",$9.00 ,,3103148000,,,,,,,t9csckhKNK4Eq7R3enJY15,"ItH1P3CL134GebYza6lLl0 , rNTgQKmgaC4aUhW7N0hHm2",MECO 3103148000
,"NAMETAG,01.000"" X 02.500"",2PLY,00.062""THK,WHITE WITH BLACK CORE,
BEVEL EDGE,TEXT HEIGHT 00.1875""
  
TAG TO READ: ""VFD02""
  
SCOT-GRAV OR EQUAL",$9.00 ,,3103149000,,,,,,,JFxGrS88cA4jeEbykLNDl1,"wjEuSQUeEh4MUojmCs5oU4 , Po2zAFlX9m4pq0S8Oqxor8",MECO 3103149000
